,name,titles,rating,comments
10,Sassy,Value for money if u got under 40k,4,No
11,Keshav Alur,Good product in best offer,5,Value for money
12,Abhishek,Still a great buy even after 2 years,2,"So far its going good, has been a great purchase while upgrading from Iphone 7 to Iphone 11.. I personally believe one of the best range of phones offered in Apple cell phone segment and with now 3 years old the phone is still a great buy to go for anyone who is willing to upgrade from any lower version Iphone with decent battery life"
13,Gaunter O Dimm,Ultimate product,5,"Very good product,"
14,aj,Value for Money iPhone,5,Its value for money iPhone. Its has served me till now and still serving me well.
15,Aamir,Detailed Review// Unexpected 😲,4,"First of all a very big thank you to Amazon great Indian sale as I bought this device for 46,249 and I really did not expect that I would get iPhone 11 at this price I’m truly very happy that I could wait all this long to buy a new phone. Eventually I never thought that I would be an Apple fan as I was a big time android user for 10 years.Well I was about to buy one +8 pro and I was quite confused whether should I go with one +8 pro or iPhone 11. I compared both the phones and eventually I decided to go with iPhone 11 as one +8 pro camera is really not up to the mark for what we actually pay in fact if I want to compare Samsung M series phones have better camera than one +8 pro. Other than camera one +8 pro is really a top notch phone in terms of display and sound quality.No let’s talk about iPhone 11 and I am giving this review after 20 days of my usage & I am really a heavy user.Camera as outstanding, top notch, till now and from past 10 years I have never seen a camera which is this amazing in terms of quality and shots infact night mode is extremely superb. The ultrawide camera is the best ultrawide camera which iPhone 11 gives and comparing iPhone 11 with one +8 pro it’s a shame even though one +8 pro gives a 48 megapixel camera it doesn’t give the best quality & filed of view.Talking about performance trust me this has one of the powerful chipset if compared to snapdragon 865, Like really no other phone can beat it.I don’t know what sampling rate iPhone 11 has but the display is amazingly smooth and silky; that touch response is a “WOW”The face recognition is amazing!! more than my expectations because it really doesn’t work like what android system is, The privacy and security which iPhone offers is the best.Now talking about battery life it is really good when it comes to a standby mode but when you actually keep using the phone continuously, it drains out and maximum time you can use is just 5 hours 35 minutes. And charging time with 5W charger takes more than 2 hours 30 minutes.Talking about build quality it is good, stylish, superb but kind of heavy as it has the best glass on both sides infact on the first day itself it fell down from a height of 4 feet and I was surprised that it didn’t break.Talking about gaming, trust me it heats a lot. I mean I have played PUBG at high graphics as well as Asphalt 9 and the back panel does heat up quickly and at some point you cannot even hold it.So I would say, Buying an iPhone for gaming won’t be a good choice as it heats up a lot and playing continuously will definitely drain out the battery....I was quite worried to buy an iPhone from Amazon because there were lot of negative reviews and few of them said that it’s a fraud and they have been cheated but luckily in my case; 🤞🏼I really got the original product, a genuine one and I didn’t face any issue in terms of packaging."
16,Abhishek,Got at a lowest price,4,Good phone to buy
17,Dr Gunjan Jain,Iphone,5,Happy with the purchase.Camera quality is good too . Got for my Sister.Thank you Amazon .
18,Abhishek,Amazing,2,Awesome
19,Harish,iPhone XR with better Camera and Internals,5,"This being my second Apple device. No, I haven't sold my kidney as I got this for about 58K. I have been an avid Android Fanboy using 1+ as my daily driver for the past 5 years. The switch using move to iOS and the entire transition using Drive, Photos etc.. It has been seamless. I may miss a thing or two about 1+ with what a stock Android would offer. Couple of my colleagues argued how good the latest 1+ phones are. Two things that 1+ will never be good at. Photography and Intermittent lag. Yes, a phone with 12 Gigs of ram lags!Now, off to the device.ProsThe device's build quality is amazing. The detail given in to every tiny little thing should be noted. Even the Sim tray is made out of metal.Speakers sound better than my previous phone.A couple of you might argue about LCD with lower resolution on the device. I certainly cannot differentiate that though. Color blind maybe!OS - There's no other mobile OS that is this speedy, updated on time basis and supports device for 5 long years. Yeah, you can root your phone and rock new Lineage OS on your Droid but the circumstances of rooting, Magisk cannot help Banking apps work.Camera - There are no other camera phones that are this good. Night mode is amazing. Such low light pictures turn out be so good. Note Huawei phones no longer have Google services yes you can sideload Play Store but that's still pain the arse. Next Pixel isn't going to be cheap either.ConsRemember an iPhone is always treated as an asset than a phone. Ask someone who has dropped his or her phone on a hard surface and the pain that it takes to have it repaired or replaced.Couple of them have pointed out that the device is a bit thick. Yes it is. Honestly slim phones cannot have more juice within. You have to sacrifice either of them.No 3.5MM means you can't charge and listen to music i.e. move on to wireless headphones.Overall an amazing phone that's worth every penny. And a phone that I'd be using for the next 5 years for sure just like my 1+ One The Legend. Electronic goods are always depreciating unlike Gold or Land and fits the needs of checking messages and making calls is all you need."
20,Vishal T.,The best,4,Need 5g
21,Vickey talukdar,Coming from Androids planning to stay.,4,"Been a few weeks since I got the phone, coming from a Galaxy S10, only reason I had to switch was giving my phone away to someone else in the family, and every other Androids gotten awfully boring decided to give iPhones a shot after a long time and I don't think I will be switching back any time soon. If you come from a similar android flagship there are a few things you need to get used to, in terms of the software its snappy not as fast as some androids but it feels smooth and has a flow to it.Display is where you might get disappointed with but don't worry its not as bad as they say, its bright its got ample clarity and if you pixel peep you will see a few pixels here and there but nothing that will disappoint you but its brighter for some reason iOS has a very clean color palette which gives it a nice vibrant interface, watching video is alright but you will sure miss the deep blacks if you come from OLED but the dolby vision certification sure makes up for it.Battery is downright impressive I can go through a whole day without putting it on charge and still finish with more than 40 percent juice left and I often get close to 9 hours average in screen on time as well I even left the phone unattended for 8 hours and it only drained one percent and still went through the whole day without a hiccup.Camera is one of the best at what it does though Pixels and Galaxies might take slightly better pictures but if you use Instagram or Snapchat a lot this phone will do wonders for you miles ahead of any other android in terms of social media performance.There is a certain heft to the phone the S10 feels like paper and walking or holding this phone feels like a chore if you also have one of those fat spigen cases on but you will get used to it. I will suggest you put a case on this bad boy as it does tend to get scuffed around the edges my friends iPhone had the same problem.I dont have an Apple Ecosystem per se, but i got Airplay on my TV so I can stream my Apple Music library to it and play it over the sound system you can also do spotify.For someone who is coming from Android since a long time this phone is the cake, absolutely delight to use small things do make a difference and also no auxiliary or usb c so carry around a spare lighting cable around with you and also charging by default is at 5 watts you could use a fast charger to get it upto 18, though I havent found the charging slow maybe because I dont use it while it does charge.The notch is there but most of the action happens below it so its fine and you will start to ignore it after an hour.PS: lot of negative reviews for the seller but what I got was a phone fresh from the factory in her wraps and only had one wifi calling glitch which was my fault apart from that the phones been absolutely stellar and Amazons been great delivering it in the pandemic too"
22,Sanjeev Kumar,Every one knows the quality,5,Perfect
23,Prakash,iPhone 11 value for money,5,iPhone 11
24,Abhishek,Best in class.,2,"If you need an iOS device at low price, go for it. For camera freaks not recommended if you are into telephoto clicks because it doesn't have a telephoto lens. But best in its class. I do remember it had the best camera after after pixel 2 xl and huawei p30 pro. Good battery life. Gets you through the day with moderate use but do buy a 20 w charger. Ahead of times processor, no question about that. Screen goes upto 1080p 60hz, not recommended if you use a 120/90hz device already, you will get stuck at slow motion. nice speakers if you still listen to music on speaker...it has that iconic punch of a little base that every iPhone has. But I do recommend to go for the higher variants if not necessarily an emergency to have an iOS device. If you are okay with an android device I do recommend comparing it with others like OnePlus, samsung, nothing etc, once."
25,Manish Singh,Best but Amazon ruined it ;(,5,"Well well well! The most hyped iPhone of the year isn’t quite there at least not for me.It has a best camera undoubtedly, but the other side of the coin is not that good. So I was an android user, 1 Plus more specifically. I was excited to switch to the iPhone as most of you maybe. Amazon was pretty good at the delivery and I got it within 3 days. During my first day usage I noticed a slight warm feeling on the right side of my phone from top to bottom on the back. It was prominent and I could feel the heat that was generated. I looked online and fixed some setting like location and notifications which would put a lot of pressure on your battery. So i thought it is fixed but it wasn’t.To be honest I never thought of iPhones getting warm within a few minutes of youtube playback or social networking on WhatsApp or Instagram. It was all that I had never thought of. My onePlus 6 was a beast in this matter and half the price of iPhone 11, nonetheless I used it for a few days and kept looking for solutions but all would say it is quite normal for an iPhone to get warm.To be on the safer side I thought of replacement but Amazon won’t allow you unless you have a job sheet from an authorised apple service centre, which was quite new for me. As earlier no matter the cost of the product a replacement window was always open. A disappointment then!So with a heavy heart I headed towards the iPhone Service Centre some 15 kms away from my place. While reaching there I put forward my issues and they were like sir it is quite normal for the iPhones unless you get a warning of over heating. They were not ready to make a job sheet instead suggested for a diagnostic test, which came out normal.It has been a week now, I can still feel that warmth on the right side of my phone and I suppose I have to get used to it.Talking about the other things the phone offers, Camera quality is the best, you get some awesome video and audio quality. A top notch I must say.You will have to cautiously use it for a longer battery life.The charging brick is good for a normal user, it is a bit slow in charging but it is not necessary to spend some ₹3000 plus fo a new charger and a cable.Face recognition is fast but I still miss my fingerprint in times of this Pandemic.So the bottom line is worst Amazon Experience, you better buy it from an authorised dealer or go to appleonlinestoreindia for some good deals.And yeah! winter is coming so I have got it covered thanks to iPhone 11:) Cheers!!!"
26,Gaayathridevi R,Love it,3,I'm excited about this product even before it's launch... Overall it's camera storage and battery life is Decent.... My appeal to iphone company... Kindly also dispatch the adapter also
27,VIVEK ,Amazing,5,"Best in class. I rated it 4 only because it has slightly thicker bezels but that's okay, knew it before buying. This one is a gaming beast. PUBG runs buttery smooth and clicks amazing photos."
28,John Delas,Excellent !,5,
29,Anugra,A detailed review,3,"After 3 months of usage, It feels smooth and it’s the first time I’ve used an IOS device. Following are few points describing the product.1) Screen and display:The screen is quite comfortable to look at and the adaptive display works excellent. The transition from one app to another is so smooth and satisfying. The display adapts according to lighting and quite easy on the eyes. There’s blue light filter (true tone) which gives a warm hue to the display. Brightness when set to max is excellent even in day light.Update: The phone is dust proof and waterproof and underwater pictures are phenomenal. No need to worry if you dropped your phone in water.2) Software:Currently on IOS 14, the interface is to a next level. It took few days to adapt according to the interface but now, every app is smooth and easy to use.The face unlock is so accurate as it uses infrared light and smart unlock. That means no one can unlock your phone while you’re asleep so your phone is secure. Also you can unlock your phone even in dim to dark lit rooms or in absolutely no external light. The phone has lot’s of shortcuts making your use super easy and quick. No doubt about the security! Each and every bit of data is safe on your device.3) batteryAs I’m not a heavy gamer, the battery is enough for an entire day or 2 at max. Switching from android to iOS i used battery of 6000mah which still is more than apple’s 3110mah but the ios battery management is really great. You can watch videos at max brightness for quite a long time on this plus if you’re a heavy gamer, you may have to charge the device maybe twice a day. Also the battery optimisation is an excellent feature which saves your device from overcharging.4) cameraWell it’s iphone baby! Camera is excellent and most clear pictures and videos are captured from the camera. A 10/10 for camera and videos. If you’re into making content for YouTube or instagram, this phone’s camera would be perfect. Also the pictures captured are quite vivid.Few cons of the device1) The notch takes up little more space of the screen. I personally don’t find it annoying but few people may.2) Phone may heat a little during charging.3) If you bought this after selling your kidney, you must stay hydrated. Be very careful with your phone as even a little scratch would hurt your heart a lot."
30,Abhishek,Ossam,2,Ossam
31,MIKS,Nice and it’s,4,Loved it
32,Amazon Customer,Engineered to perfection.,4,"10 months agoi've had android for 5 years i was looking for a change in pace when i switched over to boost. My first iphone was a 6s Plus with boost mobile, after having it for a week i became an iphone fan. i overall enjoyed the camera, processing power,and the polarizing display. What i did not like was the battery life, that aspect needed improvement. When the boost guy at store mentioned i could get a new phone through payments i looked into a new device because i did not enjoy the battery life lasting me 4 to 6 hours after being charged 100%. So after talking to apple experts and even samsung enthusiasts i came to the cross road of the s10e and iphone 11 (the regular) and decided to give a go on the iphone 11 after the store rep mentioned iphones pick up better compared to samsung in the area i live. SURE ENOUGH!!! spots with no signal..BOOM! SERVICE! now keep in mind im not saying you'll have service every where you go due to some areas having no service, but i can vouch that areas my iphone 6s plus struggled to load or pick up a siganl bar at drastically improved. ALONG WITH BATTERY LIFE!!! this phone lasts me 10 to 12 hours off a single charge. keep in mind no i do not use low power mode thats just how good the battery life is on the iphone 11. lastly, i know there's android devices on the market that boast a big screen, long lasting battery life, and good cameras which are cheaper compared to iphones but thats the problem i kept running into was finding a durable phone. after 5 years of using the android platform i went through 8 or 10 devices from zte, lg, and samsung. all because the storage was too full, or because an antennae or battery had burned out. from what i hear iphone 11 users should expect a life span of 3 years. thats pretty good considering i go through phones because of internal issues not physical damage like crazyyy!!! overall look the iphone 11 is engineered quality in the camera, storage, battery, processing and display department. the price is well worth THE QUALITY put into this phone"
33,Vinayak Bhardwaj,Iphone 11,5,Purchased for my freind and got good feedback from him.But I thought still price is on little higher side
34,Deep shaw,GREAT PHONE GREAT PRICE,5,So this is my first iphone. Was using android before and not surprised this phone is tooooo good. Got mine for 44k 128gb. According to me these are the pros and consPROS :1. Camera is super good even good than some of the flagship Android in 20212. Performance is undoubtedly the best no lag easy multi tasking heavy games like PUBG/ BGMI runs super smooth with constant 60 fps.3. Battery life : By looking at the spec sheet I was a bit worried coz it is way smaller than my android phone but to be surprised it is lasting way longer than I expected. I am a very heavy user so I need to charge my phone 2 times a day i.e from 90%-35% to maintain battery health4. Build quality : Super premium. Feels good in hand.5. Speakers : Loud enough for your mom to say ' avaj kam kr de kitna Shor krra h' 😂Cons:1. Display : Quality is not good for 2021 standards. It's not like that it's bad but not upto the mark compared to even some midrange android phones.2. Notch : Feels a bit weird in 2021. This is subjective but I'm just saying it if you are buying one in 2021 consider this3. No 5g : No 5g supported so if you are gonna keep this one for a long time consider this4. Accessories : Almost no accessories in box so you have to buy one separately and to be honest they are expensive.Altogether it's a great phone even in 2021.
35,Rishabh Soni,Good phone feature,5,
36,Abhishek,Amazing,2,This is my first time from android to iPhone and totally loved this product and was worth the money not only the camera but also the features are also amazing.
37,Shresta reddy,Battery Usage | Health,5,"I am reviewing this product after 10 months.So far so good. My battery health is now 96% and i never charge it for more than 80% using 20w charger. So the battery is working nicely.The performance is overall positive. No lag No heating. The picture quality is looking nice. I never use this device for storage. Hence 64 GB is enough for my usage.However if you use cellular networks, it will suck your battery and make it drained.Important- Whoever use mobile internet instead of wifi, this phone battery will drain as much as possible and make you to charge it for many times than usual. Furthermore the battery health gets gradually decreased as well."
38,DRx Rakesh,Best smartphone I have ever used…,5,"Writing my review after three days of usage… I recommend everyone to update the software to the latest version before using the phone as there may be heating issues when the mobile is used without updating the software…I got my delivery the very next day of ordering the iPhone…Thanks to Amazon’s one day delivery…The product came in a secured package and the packaging was awesome…The camera quality is excellent…There is no second choice when it comes to IPhone camera…Regarding battery life…I’m getting one day of battery life for a normal usage with few hours of YouTube usage and phone calls…Battery life is Good.Phone is super smooth without Any lag…If you have budget then go for IPhone 12 as that comes with A14 Bionic chip that will be faster than this A13 chip…No Touch ID(fingerprint reader)…FaceID works like charm…unlocks even in extremely dark environment…Only issue is you cannot unlock your phone when wearing face-mask😀Night mode is good but not up to the mark..You can find noise in the images with night mode turned on…Dual SIM card configuration…Primary physical SIM card and secondary sim is an e-sim… e-SIM can be easily activated by contacting the network provider..In my case my secondary sim is Airtel…Send this SMS to 121 if you are using Airtel…”eSIM<space>your email ID”…you will receive a confirmation SMS immediately and after you confirm, you will receive a confirmation call, after you give your consent, you will receive a QR code to the registered email., Now go to the settings in your iPhone, Click on mobile data and then click add data plan and scan the QR., that’s it., Your eSIM will be activated within 2 hours.,Note: If you have not updated your email with the network provider call 121 for Airtel and register your email., it will take up to 2 days to update.,Will update the review after one month of usage…So far so good!"
39,suraj satpute,Nice phone,5,Nice
